id	templateID	name	effectPath	discription	skillType	magicType	priority	selectTargetType	param1	param2	param3	buffID
27	211	狂热	assets/effects/kuangre.fam	当被攻击且受到物理伤害时提升10点攻击力  	2	0	0	0	10	0	0	0
28	214	背刺	assets/effects/baoji.fam	出场回合,增加额外200点攻击力	2	0	0	0	40	0	0	0
29	222	裂伤	assets/effects/baoji.fam	当攻击并对敌方造成物理伤害时施放,使对方无法回春和被治疗	2	0	0	0	0	0	0	6
30	200	横扫	assets/effects/hengsao.fam	攻击正面卡牌并造成伤害时同时攻击左右2张卡牌	0	0	1	2	0	0	0	0
31	208	吸血	assets/effects/xixue.fam	当对敌方造成物理伤害时,回复伤害值20%的生命值	2	0	0	0	20	0	0	0
32	215	自爆	assets/effects/zibao.fam	被消灭时,对正面及其毗邻的敌方卡牌造成40点伤害	2	0	0	2	40	0	0	0
33	223	圣光	assets/effects/baoji.fam	当攻击目标是地狱时,攻击力加成60%	2	0	0	0	1	15	0	0
34	223	污染	assets/effects/baoji.fam	当攻击目标是森林时,攻击力加成60%	2	0	0	0	2	15	0	0
35	223	要害	assets/effects/baoji.fam	当攻击目标是蛮荒时,攻击力加成60%	2	0	0	0	3	15	0	0
36	223	暗杀	assets/effects/baoji.fam	当攻击目标是王国时,攻击力加成60%	2	0	0	0	4	15	0	0
37	216	王国之力	assets/effects/wangguozhili.fam	增加场上除自身外我方其他王国卡牌75点攻击力	2	0	0	16	25	0	0	0
38	216	地狱之力	assets/effects/wangguozhili.fam	增加场上除自身外我方其他地狱卡牌75点攻击力	2	0	0	17	25	0	0	0
39	216	森林之力	assets/effects/wangguozhili.fam	增加场上除自身外我方其他森林卡牌75点攻击力	2	0	0	18	25	0	0	0
40	216	蛮荒之力	assets/effects/wangguozhili.fam	增加场上除自身外我方其他蛮荒卡牌75点攻击力	2	0	0	19	25	0	0	0
41	203	法力反射	assets/effects/fanshe.fam	当受到冰,火,雷,血攻击时,攻击无效,并对攻击方造成30点伤害	2	0	0	0	30	0	0	0
42	206	魔甲	assets/effects/mojia.fam	当受到冰,火,雷,血攻击时,每次最多承受100点技能伤害	2	0	0	0	130	10	0	0
43	205	冰甲	assets/effects/bingjia.fam	每次物理攻击时最多承受120点伤害	2	0	0	0	180	10	0	0
44	210	反击	assets/effects/fanji.fam	当受到物理伤害时,立即反击并给予80点伤害 	2	0	0	0	20	0	0	0
45	219	盾刺	assets/effects/fanji.fam	当受到物理伤害时,立即反击攻击者及相邻卡牌并给予100点伤害 	2	0	0	0	20	0	0	0
46	220	燃烧	assets/effects/fanji.fam	受到物理攻击时,使对方燃烧,在其每次行动结束后丢失25点生命值 	2	0	0	0	25	0	0	5
47	204	闪避	assets/effects/shanbi.fam	被物理攻击时有35%几率不受伤害	2	0	0	0	20	5	0	0
48	202	格挡	assets/effects/gedang.fam	受到普通攻击时,减少20点伤害	2	0	0	0	20	0	0	0
49	217	王国守护	assets/effects/wangguoshouhu.fam	增加场上自身外我方其他王国卡牌200点生命值	2	0	0	16	50	0	0	0
50	217	地狱守护	assets/effects/wangguoshouhu.fam	增加场上自身外我方其他地狱卡牌200点生命值	2	0	0	17	50	0	0	0
51	217	森林守护	assets/effects/wangguoshouhu.fam	增加场上自身外我方其他森林卡牌200点生命值	2	0	0	18	50	0	0	0
52	217	蛮荒守护	assets/effects/wangguoshouhu.fam	增加场上自身外我方其他蛮荒卡牌200点生命值	2	0	0	19	50	0	0	0
53	104	回春	assets/effects/zhiliao.fam	每回合恢复自身30点生命值	1	0	0	13	30	0	0	0
54	104	治疗	assets/effects/zhiliao.fam	恢复我方1张损失生命值最多的卡牌25点生命	1	0	0	10	25	0	0	0
55	104	甘霖	assets/effects/zhiliao.fam	恢复我方所有卡牌25点生命值	1	0	0	11	25	0	0	0
56	105	祈祷	assets/effects/zhiliao.fam	恢复我方英雄50点生命值	1	0	0	14	50	0	0	0
57	218	转生	assets/effects/zhuansheng.fam	死亡时有50%的概率进入手牌,如果手牌已满则进入牌堆	2	0	0	0	30	5	0	0
58	207	免疫	assets/effects/mianyi.fam	不受任何技能造成的伤害和影响	2	0	0	0	0	0	0	0
59	224	不动	assets/effects/budong.fam	不受摧毁,送还,传送技能影响	2	0	0	0	0	0	0	0
60	108	摧毁	assets/effects/chuihui.fam	立即杀死敌方一张卡片	1	1	0	3	0	0	0	0
61	109	送还	assets/effects/chuansong.fam	将正面敌方卡牌送回牌堆	1	1	0	1	0	0	0	0
62	108	传送	assets/effects/chuansong.fam	将对方手牌中等待时间最长的1张卡牌丢至墓地	1	1	20	0	0	0	0	0
63	110	复活	assets/effects/chuansong.fam	将我方1张无复活技能的卡牌从墓地召唤上场	1	1	20	0	0	0	0	0

