templateID	headPicID	maxHP	cardList	name	lv	needMobility
87		2980	30_10,35_6,36_6,39_8,41_5,43_8,44_8,47_6	草船借箭	23	2
88		3070	62_10,65_8,69_8,70_5,72_9,73_9,75_6,78_8	苦肉计	24	2
89		3070	62_10,65_8,69_8,70_5,72_9,73_9,75_6,78_8	苦肉计	24	2
90		3070	62_10,65_8,69_8,70_5,72_9,73_9,75_6,78_8	苦肉计	24	2
91		3160	34_10,40_10,42_5,43_8,44_6,46_10,47_6,49_8	庞统献连环	25	2
92		3160	34_10,40_10,42_5,43_8,44_6,46_10,47_6,49_8	庞统献连环	25	2
93		3160	34_10,40_10,42_5,43_8,44_6,46_10,47_6,49_8	庞统献连环	25	2
94		3250	32_10,35_8,37_8,39_10,40_6,41_10,45_9,48_8	赤壁之战1	26	2
95		3250	32_10,35_8,37_8,39_10,40_6,41_10,45_9,48_8	赤壁之战1	26	2
96		3250	32_10,35_8,37_8,39_10,40_6,41_10,45_9,48_8	赤壁之战1	26	2
97		3340	6_10,10_8,12_8,13_10,15_6,17_10,18_6,19_8	赤壁之战2	27	2
98		3340	6_10,10_8,12_8,13_10,15_6,17_10,18_6,19_8	赤壁之战2	27	2
99		3340	6_10,10_8,12_8,13_10,15_6,17_10,18_6,19_8	赤壁之战2	27	2
100		3430	40_6,41_8,42_8,43_10,45_6,47_5,48_10,49_8	智算华容道	28	2
101		3430	40_6,41_8,42_8,43_10,45_6,47_5,48_10,49_8	智算华容道	28	2
102		3430	40_6,41_8,42_8,43_10,45_6,47_5,48_10,49_8	智算华容道	28	2
103		3520	66_10,7_10,10_8,72_6,73_8,5_10,77_10,8_10,79_8	智取荆州	29	2
104		3520	66_10,7_10,10_8,72_6,73_8,5_10,77_10,8_10,79_8	智取荆州	29	2
105		3520	66_10,7_10,10_8,72_6,73_8,5_10,77_10,8_10,79_8	智取荆州	29	2
106		3610	8_10,70_10,11_8,71_10,12_8,75_7,78_7,18_9,19_10	荆襄九郡	30	2
107		3610	8_10,70_10,11_8,71_10,12_8,75_7,78_7,18_9,19_10	荆襄九郡	30	2
108		3610	8_10,70_10,11_8,71_10,12_8,75_7,78_7,18_9,19_10	荆襄九郡	30	2
109		4000	5_10,6_10,10_8,72_9,13_10,15_8,76_10,78_10,18_10	三气周瑜	31	2
110		4000	5_10,6_10,10_8,72_9,13_10,15_8,76_10,78_10,18_10	三气周瑜	31	2
111		4000	5_10,6_10,10_8,72_9,13_10,15_8,76_10,78_10,18_10	三气周瑜	31	2
112		4100	7_10,9_10,12_8,101_7,103_10,105_8,16_6,17_8,109_10	吞并西凉	32	2
113		4100	7_10,9_10,12_8,101_7,103_10,105_8,16_6,17_8,109_10	吞并西凉	32	2
114		4100	7_10,9_10,12_8,101_7,103_10,105_8,16_6,17_8,109_10	吞并西凉	32	2
115		4200	96_10,100_10,102_8,103_6,104_10,105_8,106_9,107_8,108_10	夺取西川1	33	2
116		4200	96_10,100_10,102_8,103_6,104_10,105_8,106_9,107_8,108_10	夺取西川1	33	2
117		4200	96_10,100_10,102_8,103_6,104_10,105_8,106_9,107_8,108_10	夺取西川1	33	2
118		4300	98_10,30_10,32_8,101_9,102_10,35_10,36_10,37_8,109_10	夺取西川2	34	2
119		4300	98_10,30_10,32_8,101_9,102_10,35_10,36_10,37_8,109_10	夺取西川2	34	2
120		4300	98_10,30_10,32_8,101_9,102_10,35_10,36_10,37_8,109_10	夺取西川2	34	2
121		4400	35_10,11_10,43_8,14_9,45_8,16_10,17_9,18_8,49_10	合肥之战	35	2
122		4400	35_10,11_10,43_8,14_9,45_8,16_10,17_9,18_8,49_10	合肥之战	35	2
123		4400	35_10,11_10,43_8,14_9,45_8,16_10,17_9,18_8,49_10	合肥之战	35	2
124		4500	39_10,40_10,41_8,43_9,44_8,46_10,47_9,48_8,56_10	汉巴之战	36	2
125		4500	39_10,40_10,41_8,43_9,44_8,46_10,47_9,48_8,56_10	汉巴之战	36	2
126		4500	39_10,40_10,41_8,43_9,44_8,46_10,47_9,48_8,56_10	汉巴之战	36	2
127		4600	96_10,101_10,102_8,104_10,105_8,106_9,107_8,109_10,114_7	巧取汉中	37	2
128		4600	96_10,101_10,102_8,104_10,105_8,106_9,107_8,109_10,114_7	巧取汉中	37	2
129		4600	96_10,101_10,102_8,104_10,105_8,106_9,107_8,109_10,114_7	巧取汉中	37	2
130		4700	37_10,40_8,42_9,43_9,45_10,46_10,48_9,49_10,52_10	水淹七军	38	2
131		4700	37_10,40_8,42_9,43_9,45_10,46_10,48_9,49_10,52_10	水淹七军	38	2
132		4700	37_10,40_8,42_9,43_9,45_10,46_10,48_9,49_10,52_10	水淹七军	38	2
133		4800	8_10,10_6,12_9,13_8,15_10,17_6,18_9,28_10,29_10	败走麦城	39	2
134		4800	8_10,10_6,12_9,13_8,15_10,17_6,18_9,28_10,29_10	败走麦城	39	2
135		4800	8_10,10_6,12_9,13_8,15_10,17_6,18_9,28_10,29_10	败走麦城	39	2
136		4900	35_10,41_8,42_9,44_10,45_10,47_8,49_9,55_10,58_8	曹操之死	40	2
137		4900	35_10,41_8,42_9,44_10,45_10,47_8,49_9,55_10,58_8	曹操之死	40	2
138		4900	35_10,41_8,42_9,44_10,45_10,47_8,49_9,55_10,58_8	曹操之死	40	2
139		5400	40_10,42_8,43_10,45_9,46_10,48_10,49_8,50_10,57_8	曹丕篡权	41	2
140		5400	40_10,42_8,43_10,45_9,46_10,48_10,49_8,50_10,57_8	曹丕篡权	41	2
141		5400	40_10,42_8,43_10,45_9,46_10,48_10,49_8,50_10,57_8	曹丕篡权	41	2
142		5510	70_10,71_8,72_6,73_8,75_10,76_8,77_6,79_9,84_6,88_9	兴兵伐吴	42	2
143		5510	70_10,71_8,72_6,73_8,75_10,76_8,77_6,79_9,84_6,88_9	兴兵伐吴	42	2
144		5510	70_10,71_8,72_6,73_8,75_10,76_8,77_6,79_9,84_6,88_9	兴兵伐吴	42	2
145		5620	11_10,12_8,14_10,16_8,17_10,18_8,21_8,22_9,24_10,25_10	夷陵之战1	43	2
146		5620	11_10,12_8,14_10,16_8,17_10,18_8,21_8,22_9,24_10,25_10	夷陵之战1	43	2
147		5620	11_10,12_8,14_10,16_8,17_10,18_8,21_8,22_9,24_10,25_10	夷陵之战1	43	2
148		5730	71_8,72_10,74_8,75_10,76_10,78_9,80_10,81_9,87_10,89_8	夷陵之战2	44	2
149		5730	71_8,72_10,74_8,75_10,76_10,78_9,80_10,81_9,87_10,89_8	夷陵之战2	44	2
150		5730	71_8,72_10,74_8,75_10,76_10,78_9,80_10,81_9,87_10,89_8	夷陵之战2	44	2
151		5840	100_10,101_10,103_10,106_10,108_10,109_10,111_10,114_10,117_10,119_10	安居平五路	45	2
152		5840	100_10,101_10,103_10,106_10,108_10,109_10,111_10,114_10,117_10,119_10	安居平五路	45	2
153		5840	100_10,101_10,103_10,106_10,108_10,109_10,111_10,114_10,117_10,119_10	安居平五路	45	2
154		5950	10_10,13_10,15_10,16_10,18_10,22_10,23_10,25_10,28_10,30_10	兵渡泸水	46	2
155		5950	10_10,13_10,15_10,16_10,18_10,22_10,23_10,25_10,28_10,30_10	兵渡泸水	46	2
156		5950	10_10,13_10,15_10,16_10,18_10,22_10,23_10,25_10,28_10,30_10	兵渡泸水	46	2
157		6060	100_10,106_10,110_10,111_10,112_10,113_10,115_10,116_10,118_10,120_10	七擒孟获	47	2
158		6060	100_10,106_10,110_10,111_10,112_10,113_10,115_10,116_10,118_10,120_10	七擒孟获	47	2
159		6060	100_10,106_10,110_10,111_10,112_10,113_10,115_10,116_10,118_10,120_10	七擒孟获	47	2
160		6170	12_10,48_10,21_10,22_10,26_10,51_10,54_10,57_10,30_10,60_10	出师北伐	48	2
161		6170	12_10,48_10,21_10,22_10,26_10,51_10,54_10,57_10,30_10,60_10	出师北伐	48	2
162		6170	12_10,48_10,21_10,22_10,26_10,51_10,54_10,57_10,30_10,60_10	出师北伐	48	2
163		6280	15_10,46_10,20_10,25_10,28_10,52_10,56_10,58_10,30_10,60_10	司马复出	49	2
164		6280	15_10,46_10,20_10,25_10,28_10,52_10,56_10,58_10,30_10,60_10	司马复出	49	2
165		6280	15_10,46_10,20_10,25_10,28_10,52_10,56_10,58_10,30_10,60_10	司马复出	49	2
166		6390	11_10,16_10,42_10,23_10,24_10,29_10,50_10,55_10,30_10,60_10	空城退敌	50	2
167		6390	11_10,16_10,42_10,23_10,24_10,29_10,50_10,55_10,30_10,60_10	空城退敌	50	2
168		6390	11_10,16_10,42_10,23_10,24_10,29_10,50_10,55_10,30_10,60_10	空城退敌	50	2
169		7000	18_10,41_10,44_10,50_10,85_10,118_10,30_10,60_10,90_10,120_10	司马取印	51	2
170		7000	18_10,41_10,44_10,50_10,85_10,118_10,30_10,60_10,90_10,120_10	司马取印	51	2
171		7000	18_10,41_10,44_10,50_10,85_10,118_10,30_10,60_10,90_10,120_10	司马取印	51	2
172		7120	49_10,28_10,29_10,48_10,50_10,81_10,89_10,30_10,60_10,90_10	祁山斗智	52	2
173		7120	49_10,28_10,29_10,48_10,50_10,81_10,89_10,30_10,60_10,90_10	祁山斗智	52	2
174		7120	49_10,28_10,29_10,48_10,50_10,81_10,89_10,30_10,60_10,90_10	祁山斗智	52	2
175		7240	19_10,22_10,23_10,27_10,52_10,57_10,30_10,60_10,90_10,120_10	六出祁山	53	2
176		7240	19_10,22_10,23_10,27_10,52_10,57_10,30_10,60_10,90_10,120_10	六出祁山	53	2
177		7240	19_10,22_10,23_10,27_10,52_10,57_10,30_10,60_10,90_10,120_10	六出祁山	53	2
178		7360	47_10,20_10,23_10,26_10,82_10,113_10,30_10,60_10,90_10,120_10	火熄上方谷	54	2
179		7360	47_10,20_10,23_10,26_10,82_10,113_10,30_10,60_10,90_10,120_10	火熄上方谷	54	2
180		7360	47_10,20_10,23_10,26_10,82_10,113_10,30_10,60_10,90_10,120_10	火熄上方谷	54	2
181		7480	22_10,23_10,50_10,56_10,89_10,118_10,30_10,60_10,90_10,120_10	秋风五丈原	55	2
182		7480	22_10,23_10,50_10,56_10,89_10,118_10,30_10,60_10,90_10,120_10	秋风五丈原	55	2
183		7480	22_10,23_10,50_10,56_10,89_10,118_10,30_10,60_10,90_10,120_10	秋风五丈原	55	2
