templateID	name	baseHP	growUpHP	baseACK	growUpACK	defense	maxWaitRound	normolAttID	skill1ID	skill1Para	skill2ID	skill2Para	skill3ID	skill3Para	starLv	country	cost
104	许攸	550	25	115	23	0	2	1	2	3	32	3	19	6	3	4	8
105	田丰	580	20	175	25	0	4	1	64	0,16,6	2	5	55	6	3	4	9
106	纪灵	630	17	185	27	0	2	1	26	2	53	3	48	7	3	4	10
107	庞德	690	41	190	18	0	6	1	25	2	65	0,18,6	52	4	3	4	8
108	颜良	615	20	180	30	0	4	1	36	3	11	6	28	5	3	4	11
109	文丑	800	40	150	18	0	4	1	48	3	46	4	52	5	3	4	9
110	袁绍	840	52	245	20	0	6	1	44	7	36	7	40	6	4	4	11
111	公孙瓒	890	45	250	22	0	4	1	36	6	41	4	26	6	4	4	13
112	袁术	850	20	255	30	0	4	1	25	5	48	7	52	5	4	4	12
113	貂蝉	980	20	250	10	0	6	1	64	0,18,5	30	0	64	0,60,0	4	4	14
114	马腾	1230	47	285	21	0	6	1	48	2	45	6	29	0	4	4	13
115	董卓	900	32	245	25	0	6	1	24	5	27	5	43	7	4	4	12
116	张角	960	40	260	10	0	6	1	26	3	40	5	44	10	4	4	13
117	刘表	800	25	260	19	0	6	1	45	3	53	4	27	7	4	4	11
118	华佗	900	34	255	26	0	4	1	4	6	31	6	55	7	4	4	13
119	孟获	1100	33	280	20	0	6	1	25	5	27	6	53	7	4	4	13
120	吕布	1330	25	335	33	0	4	1	0	8	12	8	53	10	5	4	15
